column_name,path,list_path,subfield_path,var_type,data_type
AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",static,string
App,"['App Settings', 'Block List', 'App']",,"['App Settings', 'Block List', 'App']",static,number
App,"['App Settings', 'Settings', 'App']",,"['App Settings', 'Settings', 'App']",static,number
App,"['Comment', 'Comments', 'App']",,"['Comment', 'Comments', 'App']",static,number
CreateDate,"['Profile', 'AI-Moji', 'CreateDate']",,"['Profile', 'AI-Moji', 'CreateDate']",static,string
PhoneNumber,"['Profile', 'Autofill', 'PhoneNumber']",,"['Profile', 'Autofill', 'PhoneNumber']",static,string
Email,"['Profile', 'Autofill', 'Email']",,"['Profile', 'Autofill', 'Email']",static,string
FirstName,"['Profile', 'Autofill', 'FirstName']",,"['Profile', 'Autofill', 'FirstName']",static,string
LastName,"['Profile', 'Autofill', 'LastName']",,"['Profile', 'Autofill', 'LastName']",static,string
Address,"['Profile', 'Autofill', 'Address']",,"['Profile', 'Autofill', 'Address']",static,string
ZipCode,"['Profile', 'Autofill', 'ZipCode']",,"['Profile', 'Autofill', 'ZipCode']",static,string
Unit,"['Profile', 'Autofill', 'Unit']",,"['Profile', 'Autofill', 'Unit']",static,string
City,"['Profile', 'Autofill', 'City']",,"['Profile', 'Autofill', 'City']",static,string
State,"['Profile', 'Autofill', 'State']",,"['Profile', 'Autofill', 'State']",static,string
Country,"['Profile', 'Autofill', 'Country']",,"['Profile', 'Autofill', 'Country']",static,string
App,"['Profile', 'Profile Info', 'App']",,"['Profile', 'Profile Info', 'App']",static,number
MostRecentModificationTimeInApp,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",static,string
MostRecentModificationTimeInWeb,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",static,string
